Data, Hora, Municipio, Nro da Ocorrencia, Tipo de Via, Tipo Logradouro, Logradouro, KM, Natureza Ocorrencia, Tipo Ocorrencia, Historico, Teor Alcoolico, Falecimento Posterior, Ocorrencia Falecimento, Motorista Embriagado, Pedestre Embriagado, Veiculo Fugou, Motorista sem CNH
"12/03/2011","22:30","Taquara","1368","Municipal","Estrada","PASSO DA ILHA","","Colisão","Lesão De Trânsito","","","17/03/2011","5671","","","",""
"06/03/2011","22:00","Taquara","1237","Estadual","Rodovia","RS 020","35","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","",""
"26/02/2011","01:50","Taquari","411","Estadual","Rodovia","RS 436","11","Colisão","Homicídio De Trânsito","","","26/02/2011","","","","",""
"17/07/2011","05:30","Taquari","278","Federal","Rodovia","BR 386","372,2","Colisão","Homicídio De Trânsito","","","17/07/2011","","","","",""
"15/11/2011","21:25","Taquari","2686","Municipal","Rua","JOSE PORFIRIO DA COSTA","971","Atropelamento","Homicídio De Trânsito","","","15/11/2011","","NÃO INF.","N","N","NÃO INF."
"05/10/2011","15:35","Taquari","2324","Municipal","Rua","ERALDO EBERLE DE FREITAS","","Atropelamento","Homicídio De Trânsito","","","05/10/2011","","NÃO INF.","NÃO INF.","S","NÃO INF."
"09/09/2011","22:50","Taquari","2118","Estadual","Rodovia","RS 436","11","Colisão","Homicídio De Trânsito","","","","","","","",""
"09/07/2011","22:00","Taquari","1619","Estadual","Rodovia","RS 287","50","Colisão","Homicídio De Trânsito","","","11/07/2011","12656","NÃO INF.","N","N","S"
"29/12/2011","17:00","Taquari","14","Municipal","Estrada","LINHA RINCAO SAO JOSE","","Choque Com Objeto Fixo","Homicídio De Trânsito","","","31/12/2011","","NÃO INF.","N","N","NÃO INF."
"02/11/2011","15:30","Taquari","11227","Federal","Rodovia","BR 386","377","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"16/04/2011","22:45","Tenente Portela","509","Municipal","Avenida","ITAPIRANGA","","Outro","Homicídio De Trânsito","","","16/04/2011","","","","",""
"19/02/2011","08:00","Tenente Portela","239","Estadual","Rodovia","RS 472","47","Atropelamento","Lesão De Trânsito","","","19/02/2011","","","","",""
"13/12/2011","14:20","Tenente Portela","1617","Estadual","Rodovia","RS 472","12","Colisão Lateral","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"12/09/2011","23:38","Tenente Portela","1184","Estadual","Rodovia","RS 472","","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"06/08/2011","06:10","Tenente Portela","1025","Estadual","Rodovia","RS 330","29","Colisão","Homicídio De Trânsito","","","","","","","",""
"17/07/2011","06:10","Terra de Areia","898","Federal","Rodovia","BR 101","52,3","Atropelamento","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","S","NÃO INF."
"06/08/2011","16:00","Terra de Areia","6588","Estadual","Rodovia","RS 486","11","Tombamento","Homicídio De Trânsito","","","06/08/2011","","","","",""
"14/05/2011","10:30","Terra de Areia","622","Estadual","Rodovia","RS 486","","Capotagem","Lesão De Trânsito","","","14/05/2011","4647","","","",""
"18/09/2011","10:45","Terra de Areia","6101","Federal","Rodovia","BR 101","50","Tombamento","Homicídio De Trânsito","","","18/09/2011","","","","",""
"21/05/2011","03:00","Terra de Areia","3721","Federal","Rodovia","BR 101","49,9","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","",""
"09/02/2011","13:10","Terra de Areia","198","Federal","Rodovia","BR 101","56,6","Choque Com Objeto Fixo","Lesão De Trânsito","","","09/02/2011","1788","","","",""
"06/01/2011","21:00","Terra de Areia","190","Estadual","Rodovia","RS 486","42","Não Informado","Lesão De Trânsito","","","10/01/2011","625","","","",""
"20/10/2011","06:00","Terra de Areia","1278","Estadual","Rodovia","RS 453","47","Outro","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"19/10/2011","00:00","Terra de Areia","1272","Federal","Rodovia","BR 101","45","Outro","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"19/02/2011","02:30","Teutônia","370","Estadual","Rodovia","RS 128","22","Colisão","Homicídio De Trânsito","","","19/02/2011","","","","",""
"10/02/2011","18:10","Teutônia","321","Estadual","Rodovia","RS 453","61","Colisão","Homicídio De Trânsito","","","10/02/2011","","","","",""
"13/03/2011","15:45","Teutônia","2562","Estadual","Rodovia","RS 128","23","Tombamento","Homicídio De Trânsito","","","","","","","",""
"26/02/2011","00:15","Teutônia","1959","Estadual","Rodovia","RS 453","52","Colisão","Homicídio De Trânsito","","","26/02/2011","","","","",""
"23/06/2011","19:00","Teutônia","13028","Municipal","Rua","TRES DE OUTUBRO","","Tombamento","Falecimento","","","26/06/2011","13028","","","",""
"13/06/2011","06:15","Teutônia","1198","Municipal","Estrada","ESTRADA VELHA","","Colisão","Homicídio De Trânsito","","","13/06/2011","","","","",""
"27/05/2011","08:10","Teutônia","1092","Municipal","Rua","DOIS LESTE","","Colisão Lateral","Homicídio De Trânsito","","","27/05/2011","","","","",""
"25/01/2011","12:20","Tio Hugo","36","Federal","Rodovia","BR 386","216","Colisão","Homicídio De Trânsito","","","","","","","",""
"21/11/2011","20:25","Torres","7316","Federal","Rodovia","BR 101","7,3","Atropelamento","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"02/10/2011","01:05","Torres","6298","Federal","Rodovia","BR 101","8","Atropelamento","Homicídio De Trânsito","","","","","","","",""
"07/07/2011","17:40","Torres","4608","Estadual","Rodovia","RS 389","77","Colisão","Homicídio De Trânsito","","","","","","","",""
"14/06/2011","03:30","Torres","4165","Federal","Rodovia","BR 101","7,7","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","",""
"10/01/2011","19:00","Torres","341","Federal","Rodovia","BR 290","2,4","Choque Com Objeto Fixo","Homicídio De Trânsito","","","10/01/2011","","NÃO INF.","NÃO INF.","N","NÃO INF."
"01/03/2011","21:11","Torres","2017","Municipal","Avenida","CASTELO BRANCO","1051","Atropelamento","Lesão De Trânsito","","","06/03/2011","262","","","",""
"27/02/2011","06:50","Torres","1929","Estadual","Rodovia","RS 389","85","Tombamento","Homicídio De Trânsito","","","","","","","",""
"09/08/2011","16:00","Tramandaí","8010 / 313816","Municipal","Avenida","MINAS GERAIS","1298","Colisão","Homicídio De Trânsito","","","29/08/2011","1050","","","",""
"13/08/2011","17:50","Tramandaí","7862","Municipal","Avenida","FERNANDES BASTOS","","Choque Com Objeto Fixo","Homicídio De Trânsito","","","13/08/2011","7865","","","",""
"24/07/2011","14:20","Tramandaí","7279","Estadual","Rodovia","RS 030","97","Colisão","Lesão De Trânsito","","","","","","","",""
"15/11/2011","01:15","Tramandaí","454","Municipal","Avenida","FERNANDES BASTOS","1885","Colisão","Homicídio De Trânsito","","","15/11/2011","","NÃO INF.","N","N","NÃO INF."
"23/04/2011","12:45","Tramandaí","4521","Estadual","Rodovia","RS 030","97","Colisão Lateral","Lesão De Trânsito","","","23/04/2011","4534","","","",""
"11/04/2011","18:15","Tramandaí","4211","Municipal","Avenida","FERNANDES BASTOS","3190","Colisão Lateral","Lesão De Trânsito","","","26/04/2011","3083","","","",""
"03/03/2011","23:00","Tramandaí","2974","Municipal","Avenida","FERNANDES BASTOS","1102","Colisão","Lesão Corporal Culposa","","","05/03/2011","3089/307","","","",""
"02/03/2011","21:25","Tramandaí","2919","Municipal","Rua","HILDEBRANDO PINHEIRO VELOSO","502","Atropelamento","Homicídio De Trânsito","","","03/03/2011","","","","",""
"05/11/2011","16:45","Tramandaí","168","Estadual","Rodovia","RS 786","18","Colisão","Homicídio De Trânsito","","","05/11/2011","","NÃO INF.","N","N","NÃO INF."
"22/01/2011","20:20","Tramandaí","1105","Estadual","Rodovia","RS 786","26","Colisão","Homicídio De Trânsito","","","","","","","",""
"05/09/2011","17:00","Três Arroios","10460","Federal","Rodovia","BR 153","30","Colisão","Homicídio De Trânsito","","","","","","","",""
"31/10/2011","13:00","Três Cachoeiras","960","Federal","Rodovia","BR 101","30,4","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"06/11/2011","19:00","Três Cachoeiras","6996","Federal","Rodovia","BR 101","29","Capotagem","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"25/08/2011","18:30","Três Cachoeiras","5647","Federal","Rodovia","BR 101","33","Colisão","Homicídio De Trânsito","","","","","","","",""
"05/02/2011","11:20","Três Cachoeiras","1237","Federal","Rodovia","BR 101","23,6","Colisão","Homicídio De Trânsito","","","05/02/2011","1226","","","",""
"12/10/2011","06:10","Três de Maio","7684","Federal","Rodovia","BR 472","138,4","Colisão","Homicídio De Trânsito","","0","","","N","N","N","NÃO INF."
"10/01/2011","18:20","Três de Maio","51","Federal","Rodovia","BR 472","134,9","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"05/06/2011","19:00","Três de Maio","4318","Estadual","Rodovia","RS 342","","Colisão","Homicídio De Trânsito","","","05/06/2011","","","","",""
"19/02/2011","12:40","Três de Maio","295","Municipal","Rua","HORIZONTINA","1648","Colisão","Homicídio De Trânsito","","","19/02/2011","","","","",""
"18/01/2011","16:55","Três de Maio","106","Federal","Rodovia","BR 472","20","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"08/05/2011","19:00","Três Palmeiras","412","Estadual","Rodovia","RS 324","83","Colisão","Homicídio De Trânsito","","","08/05/2011","","","","",""
"15/06/2011","21:40","Três Passos","2052","Municipal","Avenida","JULIO DE CASTILHOS","","Colisão Lateral","Homicídio De Trânsito","","","07/07/2011","","","","",""
"10/04/2011","20:30","Três Passos","1085","Federal","Rodovia","BR 468","98","Colisão","Homicídio De Trânsito","","","","","","","",""
"22/04/2011","09:10","Trindade do Sul","620","Municipal","Estrada","LINHA BAU","","Choque Com Objeto Fixo","Homicídio De Trânsito","","","22/04/2011","","","","",""
"18/03/2011","11:15","Triunfo","577","Municipal","Estrada","TF 130","1","Colisão","Homicídio De Trânsito","","","","","","","",""
"30/12/2011","06:30","Triunfo","3275","Federal","Rodovia","BR 386","387","Tombamento","Homicídio De Trânsito","","","","","","","",""
"04/02/2011","21:10","Triunfo","297","Federal","Rodovia","BR 386","406","Não Informado","Homicídio De Trânsito","","","04/02/2011","2550","","","",""
"22/01/2011","17:30","Agudo","94","Municipal","Estrada","LINHA COMPLEXO DA SERRA","","Tombamento","Homicídio De Trânsito","","","22/01/2011","","","","",""
"21/11/2011","05:10","Agudo","1400","Estadual","Rodovia","RS 287","","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"05/10/2011","17:30","Ajuricaba","482","Estadual","Rodovia","RS 514","72","Atropelamento","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","S","NÃO INF."
"01/10/2011","21:00","Ajuricaba","474","Municipal","Estrada","LINHA DEZOITO NORTE","","Choque Com Objeto Fixo","Outros Acidentes","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"09/01/2011","23:40","Alecrim","13/ 607902","Municipal","Estrada","ALTO MORCEGO","","Não Informado","Lesão De Trânsito","","","13/01/2011","354","","","",""
"11/12/2011","17:00","Alegrete","9804","Estadual","Rodovia","RS 377","90","Colisão","Homicídio De Trânsito","","","11/12/2011","","NÃO INF.","NÃO INF.","N","NÃO INF."
"26/11/2011","07:00","Alegrete","9380","Municipal","Rua","MARIZ E BARROS","","Colisão Lateral","Homicídio De Trânsito","","","","","S","N","N","S"
"07/11/2011","06:50","Alegrete","8757","Federal","Rodovia","BR 290","602,7","Atropelamento","Gir Sem Habilitação Gerando Perigo De Dano Art.309","","","09/11/2011","8818","NÃO INF.","N","N","S"
"02/08/2011","21:30","Alegrete","6107","Municipal","Avenida","ASSIS BRASIL","","Atropelamento","Homicídio De Trânsito","","","02/08/2011","","NÃO INF.","NÃO INF.","N","NÃO INF."
"12/05/2011","11:25","Alegrete","3831","Municipal","Rua","BENTO MANUEL","1405","Atropelamento","Homicídio De Trânsito","","","12/05/2011","3831","","","",""
"09/04/2011","18:20","Alegrete","2914","Estadual","Rodovia","RS 183","9","Tombamento","Homicídio De Trânsito","","","","","","","",""
"01/04/2011","13:40","Alegrete","2673","Municipal","Avenida","ASSIS BRASIL","","Colisão Lateral","Homicídio De Trânsito","","","01/04/2011","","","","",""
"02/01/2011","00:40","Alegrete","20","Municipal","Rua","GENERAL SAMPAIO","742","Colisão","Lesão Corporal Culposa","","","02/01/2011","22","","","",""
"18/12/2011","13:27","Alegrete","10012","Municipal","Avenida","TIARAJU","","Choque Com Objeto Fixo","Lesão De Trânsito","","","01/01/2012","43","NÃO INF.","N","N","NÃO INF."
"14/01/2011","20:00","Alpestre","31","Municipal","Estrada","LINHA SANTA TERESINHA","4","Colisão","Homicídio De Trânsito","","","14/01/2011","","","","",""
"11/12/2011","19:45","Alvorada","8538","Municipal","Avenida","PRESIDENTE GETULIO VARGAS","508","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"04/12/2011","16:30","Alvorada","8354","Municipal","Rua","FREDERICO DIHL","3438","Atropelamento","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"14/07/2011","13:15","Alvorada","7542","Municipal","Rua","SALGADO FILHO","1056","Atropelamento","Lesão Corporal Seguida De Morte","","","","","NÃO INF.","NÃO INF.","S","NÃO INF."
"22/10/2011","18:30","Alvorada","7266","Estadual","Rodovia","RS 118","26","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"08/10/2011","20:15","Alvorada","6899","Municipal","Avenida","PRESIDENTE GETULIO VARGAS","5085","Colisão Lateral","Homicídio De Trânsito","","","08/10/2011","","NÃO INF.","N","N","N"
"17/09/2011","20:40","Alvorada","6424","Estadual","Rodovia","RS 118","3","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","S","NÃO INF."
"11/05/2011","13:30","Alvorada","5039","Municipal","Rua","ALBION","1393","Atropelamento","Lesão De Trânsito","","","21/05/2011","619","","","","S"
"15/08/2011","09:15","Alvorada","4845","Municipal","Travessa","BARAO DE UBA","","Colisão","Lesão Corporal Seguida De Morte","","","19/08/2011","4845","","","",""
"24/12/2011","09:00","Alvorada","13829","Municipal","Avenida","PRESIDENTE GETULIO VARGAS","3253","Colisão","Homicídio De Trânsito","","","24/12/2011","","N","N","N","NÃO INF."
"26/02/2011","16:30","Alvorada","1364","Municipal","Rua","BENTO MARTINS","405","Atropelamento","Homicídio De Trânsito","","","26/02/2011","2161","","","",""
"05/03/2011","09:00","Alvorada","1360","Municipal","Rua","FREDERICO DIHL","7511","Colisão","Homicídio De Trânsito","","","","","","","",""
"18/11/2011","22:00","Alvorada","12540","Municipal","Rua","ANDRE POENTE","519","Atropelamento","Lesão De Trânsito","","","15/12/2011","12500","NÃO INF.","N","N","NÃO INF."
"13/09/2011","20:00","Amaral Ferrador","288","Municipal","Estrada","LINHA COLONIA SANTO ANTONIO","","Colisão","Lesão De Trânsito","","","17/09/2011","23783","","","",""
"23/07/2011","14:30","Ametista do Sul","300","Municipal","Estrada","LINHA FISCHER","","Colisão Lateral","Homicídio De Trânsito","","","23/07/2011","","","","",""
"09/06/2011","20:30","Ametista do Sul","234","Municipal","Estrada","LINHA SAO RAFAEL","","Tombamento","Homicídio De Trânsito","","","","","","","",""
"03/05/2011","17:30","Antônio Prado","397","Estadual","Rodovia","RS 122","","Capotagem","Falecimento","","","","","","","",""
"30/01/2011","20:45","Arambaré","20","Estadual","Rodovia","RS 350","17","Choque Com Objeto Fixo","Homicídio De Trânsito","","","","","","","",""
"07/04/2011","20:10","Araricá","2992","Estadual","Rodovia","RS 239","34","Colisão","Homicídio De Trânsito","","","","","","","",""
"21/08/2011","04:30","Araricá","14908","Municipal","Rua","JOSE ANTONIO OLIVEIRA NETO","1200","Atropelamento","Homicídio","","","21/08/2011","","","","",""
"05/03/2011","06:15","Arroio do Meio","2274","Estadual","Rodovia","RS 130","76","Colisão","Homicídio De Trânsito","","","","","","","",""
"18/08/2011","18:15","Arroio do Meio","1277","Municipal","Rua","DONA RITA","2681","Colisão","Homicídio De Trânsito","","","","","","","",""
"16/11/2011","22:45","Arroio do Meio","11801","Municipal","Avenida","PRESIDENTE VARGAS","66666667","Atropelamento","Homicídio De Trânsito","","","16/11/2011","","NÃO INF.","NÃO INF.","S","NÃO INF."
"01/02/2011","21:00","Arroio do Meio","1140","Estadual","Rodovia","RS 130","80","Colisão","Homicídio De Trânsito","","","","","","","",""
"10/10/2011","HH:MM","Arroio do Meio","10447","Estadual","Rodovia","RS 130","81","Colisão","Homicídio De Trânsito","","","11/10/2011","","NÃO INF.","NÃO INF.","NÃO INF.","NÃO INF."
"03/07/2011","15:00","Arroio do Sal","4515","Estadual","Rodovia","RS 389","57","Colisão","Homicídio De Trânsito","","","","","","","",""
"06/01/2011","11:30","Arroio do Sal","185","Municipal","Avenida","INTERPRAIAS","12635","Atropelamento","Lesão De Trânsito","","","06/01/2011","192","","","",""
"30/11/2011","10:00","Arroio do Sal","1793","Municipal","Avenida","ASSIS BRASIL","370","Atropelamento","Homicídio De Trânsito","","","","","NÃO INF.","NÃO INF.","N","NÃO INF."
"18/10/2011","10:30","Arroio do Sal","1587","Estadual","Rodovia","RS 389","70","Choque Com Objeto Fixo","Lesão De Trânsito","","","24/10/2011","13374","NÃO INF.","N","N","NÃO INF."
"07/06/2011","06:50","Arroio do Tigre","612","Estadual","Rodovia","RS 481","","Tombamento","Homicídio De Trânsito","","","","","","","",""
"30/10/2011","01:00","Arroio do Tigre","1090","Estadual","Rodovia","RS 481","97","Capotagem","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"28/09/2011","13:57","Arroio dos Ratos","943","Federal","Rodovia","BR 290","","Colisão","Homicídio De Trânsito","","","","","","","",""
"30/05/2011","20:30","Arroio dos Ratos","802","Federal","Rodovia","BR 290","151","Colisão","Homicídio De Trânsito","","","","","","","",""
"20/05/2011","18:20","Arroio dos Ratos","745","Federal","Rodovia","BR 290","","Colisão","Homicídio De Trânsito","","","","","","","",""
"09/12/2011","21:00","Arroio dos Ratos","3098","Municipal","Rua","JANGO CUSTODIO DE SOUZA","532","Tombamento","Homicídio De Trânsito","","","09/12/2011","","NÃO INF.","NÃO INF.","N","NÃO INF."
"15/04/2011","17:40","Arroio dos Ratos","1036 / 1624","Federal","Rodovia","BR 290","153","Colisão","Homicídio De Trânsito","","","","","","","",""
"22/09/2011","22:15","Arroio Grande","1167","Federal","Rodovia","BR 116","585","Colisão","Outros Acidentes","","","","","","","",""
"07/11/2011","17:00","Arvorezinha","973","Estadual","Rodovia","RS 332","56","Colisão","Homicídio De Trânsito","","","","","NÃO INF.","N","N","NÃO INF."
"09/05/2011","18:00","Arvorezinha","435","Municipal","Rua","CARLOS SCHEFFER","","Atropelamento","Homicídio De Trânsito","","","09/05/2011","","","","",""
"10/05/2011","08:45","Augusto Pestana","196","Estadual","Rodovia","RS 522","24","Colisão","Homicídio De Trânsito","","","11/05/2011","","","","",""
"27/02/2011","04:30","Augusto Pestana","101","Municipal","Rua","JOSE NORBERT","","Colisão","Homicídio De Trânsito","","","","","","","",""
"20/08/2011","04:07","Bagé","9978","Municipal","Avenida","BENTO GONCALVES","","Colisão","Homicídio De Trânsito","","","20/08/2011","","","","",""
"19/08/2011","19:15","Bagé","9973","Municipal","Avenida","GENERAL MALLET","1182","Atropelamento","Homicídio De Trânsito","","","19/08/2011","","NÃO INF.","NÃO INF.","N","NÃO INF."
